NDC,Proprietary Name,Non-Proprietary Name,Dosage Form,Route Name,Company Name,Product Type
57963-103,G Tussin Ac,Codeine Phosphate And Guaifenesin,Liquid,Oral,The Generic Pharmaceutical Company,Human Otc Drug
24385-554,Good Neighbor Pharmacy Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Amerisource Bergen,Human Otc Drug
46122-620,Good Neighbor Pharmacy Anti Diarrheal Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Amerisource Bergen,Human Otc Drug
17856-0111,Good Neighbor Pharmacy Loperamide Hydrochloride,Loperamide Hcl,Suspension,Oral,Atlantic Biologicals Corp.,Human Otc Drug
17856-0545,Good Neighbor Pharmacy Loperamide Hydrochloride,Loperamide Hcl,Solution,Oral,Atlantic Biologicals Corp.,Human Otc Drug
46122-544,Good Neighbor Pharmacy Loperamide Hydrochloride,Loperamide Hcl,Solution,Oral,Amerisource Bergen,Human Otc Drug
0113-0224,Good Sense Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,L. Perrigo Company,Human Otc Drug
71205-079,Good Sense Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Proficient Rx Lp,Human Otc Drug
0113-0087,Good Sense Anti Diarrheal Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,L. Perrigo Company,Human Otc Drug
0113-1087,Good Sense Anti Diarrheal Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,L. Perrigo Company,Human Otc Drug
0113-1645,Good Sense Antidiarrheal,Loperamide Hcl,Solution,Oral,L. Perrigo Company,Human Otc Drug
50090-2651,Guaiatussin Ac,Guaifenesin And Codeine Phosphate,Liquid,Oral,A-s Medication Solutions,Human Otc Drug
50383-087,Guaiatussin Ac Sugar Free,Guaifenesin And Codeine Phosphate,Liquid,Oral,"Hi-tech Pharmacal Co., Inc.",Human Otc Drug
0121-0775,Guaifenesin And Codeine Phosphate,Guaifenesin And Codeine Phosphate,Solution,Oral,"Pharmaceutical Associates, Inc.",Human Otc Drug
0121-1550,Guaifenesin And Codeine Phosphate,Guaifenesin And Codeine Phosphate,Solution,Oral,"Pharmaceutical Associates, Inc.",Human Otc Drug
0121-1775,Guaifenesin And Codeine Phosphate,Guaifenesin And Codeine Phosphate,Solution,Oral,"Pharmaceutical Associates, Inc.",Human Otc Drug
50090-1428,Guaifenesin And Codeine Phosphate,Guaifenesin And Codeine Phosphate,Solution,Oral,A-s Medication Solutions,Human Otc Drug
53002-3191,Guaifenesin And Codeine Phosphate,Guaifenesin And Codeine Phosphate,Solution,Oral,"Rpk Pharmaceuticals, Inc.",Human Otc Drug
63187-117,Guaifenesin And Codeine Phosphate,Guaifenesin And Codeine Phosphate,Solution,Oral,Proficient Rx Lp,Human Otc Drug
68071-1350,Guaifenesin And Codeine Phosphate,Guaifenesin And Codeine Phosphate,Solution,Oral,"Nucare Pharmaceuticals,inc.",Human Otc Drug
67751-162,Handy Solutions Anti-diarrheal,Loperamide Hydrochloride,Tablet,Oral,Navajo Manufacturing Company Inc.,Human Otc Drug
63940-224,Harmon Face Values Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,Harmon Stores Inc.,Human Otc Drug
69256-005,Harris Teeter Anti Diarrheal,Loperamide Hcl,Solution,Oral,"Harris Teeter, Llc",Human Otc Drug
69256-224,Harris Teeter Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,"Harris Teeter, Llc",Human Otc Drug
69256-645,Harris Teeter Loperamide Hydrochloride,Loperamide Hcl,Suspension,Oral,"Harris Teeter, Llc",Human Otc Drug
62011-0150,Health Mart Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,Strategic Sourcing Services Llc,Human Otc Drug
62011-0383,Health Mart Anti Diarrheal,Loperamide Hcl,Solution,Oral,Strategic Sourcing Services Llc,Human Otc Drug
62011-0385,Health Mart Anti Diarrheal,Loperamide Hcl,Suspension,Oral,Strategic Sourcing Services Llc,Human Otc Drug
62011-0365,Health Mart Anti Diarrheal Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Strategic Sourcing Services Llc,Human Otc Drug
62011-0151,Health Mart Loperamide Hydrochloride,Loperamide Hcl,Suspension,Oral,Strategic Sourcing Services Llc,Human Otc Drug
62011-0236,Health Mart Loperamide Hydrochloride,Loperamide Hydrochloride,Suspension,Oral,Strategic Sourcing Services Llc,Human Otc Drug
28595-250,Histex Ac,"Codeine Phosphate, Phenylephrine Hydrochloride, And Triprolidine Hydrochloride",Syrup,Oral,"Allegis Pharmaceuticals, Llc",Human Otc Drug
64950-205,Hycodan,Hydrocodone Bitartrate And Homatropine Methylbromide,Tablet,Oral,Genus Lifesciences Inc.,Human Prescription Drug
64950-342,Hycodan,Hydrocodone Bitartrate And Homatropine Methylbromide,Solution,Oral,Genus Lifesciences Inc.,Human Prescription Drug
61919-618,Hydrocodone /apap,Hydrocodone /apap,Tablet,Oral,Direct_rx,Human Prescription Drug
61919-618,Hydrocodone /apap,Hydrocodone /apap,Tablet,Oral,Directrx,Human Prescription Drug
47781-392,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Tablet, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-393,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Tablet, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-394,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Tablet, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-395,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Tablet, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-396,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Tablet, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-397,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Tablet, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-398,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Tablet, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-409,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Capsule, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-410,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Capsule, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-411,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Capsule, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-412,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Capsule, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-413,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Capsule, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
47781-414,Hydrocodone Bitartrate,Hydrocodone Bitartrate,"Capsule, Extended Release",Oral,Alvogen Inc.,Human Prescription Drug
61919-118,Hydrocodone Bitartrate,Hydrocodone Bitartrate,Tablet,Oral,Direct Rx,Human Prescription Drug
61919-494,Hydrocodone Bitartrate,,,,Direct Rx,
61919-494,Hydrocodone Bitartrate,Hydrocodone Bitartrate,Tablet,Oral,Direct_rx,Human Prescription Drug
0121-0772,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Solution,Oral,"Pharmaceutical Associates, Inc.",Human Prescription Drug
0121-1544,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Solution,Oral,"Pharmaceutical Associates, Inc.",Human Prescription Drug
0121-2316,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Solution,Oral,"Pharmaceutical Associates, Inc.",Human Prescription Drug
0121-4772,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Solution,Oral,"Pharmaceutical Associates, Inc.",Human Prescription Drug
0245-0410,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Upsher-smith Laboratories, Llc",Human Prescription Drug
0245-0411,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Upsher-smith Laboratories, Llc",Human Prescription Drug
0245-0412,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Upsher-smith Laboratories, Llc",Human Prescription Drug
0254-2034,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Par Pharmaceutical, Inc.",Human Prescription Drug
0254-2035,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Par Pharmaceutical, Inc.",Human Prescription Drug
0254-2036,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Par Pharmaceutical, Inc.",Human Prescription Drug
0406-0123,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Specgx Llc,Human Prescription Drug
0406-0124,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Specgx Llc,Human Prescription Drug
0406-0125,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Specgx Llc,Human Prescription Drug
0406-0376,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Specgx Llc,Human Prescription Drug
0406-0377,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Specgx Llc,Human Prescription Drug
0406-0378,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Specgx Llc,Human Prescription Drug
0527-1646,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lannett Company, Inc.",Human Prescription Drug
0527-1647,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lannett Company, Inc.",Human Prescription Drug
0527-1648,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lannett Company, Inc.",Human Prescription Drug
0527-1649,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lannett Company, Inc.",Human Prescription Drug
0527-1650,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lannett Company, Inc.",Human Prescription Drug
0527-1651,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lannett Company, Inc.",Human Prescription Drug
0603-3887,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Par Pharmaceutical, Inc.",Human Prescription Drug
0603-3890,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Par Pharmaceutical, Inc.",Human Prescription Drug
0603-3891,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Par Pharmaceutical, Inc.",Human Prescription Drug
0904-6420,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Major Pharmaceuticals,Human Prescription Drug
0904-6421,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Major Pharmaceuticals,Human Prescription Drug
0904-6824,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Major Pharmaceuticals,Human Prescription Drug
0904-6825,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Major Pharmaceuticals,Human Prescription Drug
0904-6826,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Major Pharmaceuticals,Human Prescription Drug
10702-189,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Kvk-tech, Inc.",Human Prescription Drug
10702-190,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Kvk-tech, Inc.",Human Prescription Drug
10702-191,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Kvk-tech, Inc.",Human Prescription Drug
10702-192,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Kvk-tech, Inc.",Human Prescription Drug
10702-193,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Kvk-tech, Inc.",Human Prescription Drug
10702-194,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Kvk-tech, Inc.",Human Prescription Drug
13107-019,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
13107-020,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
13107-021,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
13107-211,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
13107-212,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
13107-213,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
27808-035,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Tris Pharma Inc,Human Prescription Drug
27808-036,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Tris Pharma Inc,Human Prescription Drug
27808-037,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Tris Pharma Inc,Human Prescription Drug
27808-049,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Solution,Oral,Tris Pharma Inc,Human Prescription Drug
27808-114,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Tris Pharma Inc,Human Prescription Drug
27808-115,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Tris Pharma Inc,Human Prescription Drug
27808-116,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Tris Pharma Inc,Human Prescription Drug
27808-130,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Solution,Oral,Tris Pharma Inc,Human Prescription Drug
31722-940,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Camber Pharmaceuticals, Inc.",Human Prescription Drug
31722-941,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Camber Pharmaceuticals, Inc.",Human Prescription Drug
31722-942,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Camber Pharmaceuticals, Inc.",Human Prescription Drug
31722-943,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Camber Pharmaceuticals, Inc.",Human Prescription Drug
31722-996,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Camber Pharmaceuticals, Inc.",Human Prescription Drug
31722-997,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Camber Pharmaceuticals, Inc.",Human Prescription Drug
40032-351,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Novel Laboratories, Inc.",Human Prescription Drug
40032-352,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Novel Laboratories, Inc.",Human Prescription Drug
40032-353,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Novel Laboratories, Inc.",Human Prescription Drug
40032-356,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Novel Laboratories, Inc.",Human Prescription Drug
40032-357,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Novel Laboratories, Inc.",Human Prescription Drug
40032-358,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Novel Laboratories, Inc.",Human Prescription Drug
42806-111,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Epic Pharma, Llc",Human Prescription Drug
42806-112,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Epic Pharma, Llc",Human Prescription Drug
42806-113,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Epic Pharma, Llc",Human Prescription Drug
42858-040,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Rhodes Pharmaceuticals L.p.,Human Prescription Drug
42858-139,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Rhodes Pharmaceuticals L.p.,Human Prescription Drug
42858-201,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Rhodes Pharmaceuticals L.p.,Human Prescription Drug
42858-202,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Rhodes Pharmaceuticals L.p.,Human Prescription Drug
42858-203,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Rhodes Pharmaceuticals L.p.,Human Prescription Drug
42858-238,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Rhodes Pharmaceuticals L.p.,Human Prescription Drug
43386-351,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lupin Pharmaceuticals,inc.",Human Prescription Drug
43386-352,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lupin Pharmaceuticals,inc.",Human Prescription Drug
43386-353,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lupin Pharmaceuticals,inc.",Human Prescription Drug
43386-356,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lupin Pharmaceuticals,inc.",Human Prescription Drug
43386-357,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lupin Pharmaceuticals,inc.",Human Prescription Drug
43386-358,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Lupin Pharmaceuticals,inc.",Human Prescription Drug
45865-605,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Medsource Pharmaceticals,Human Prescription Drug
50090-0843,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-0844,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-1517,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-1518,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-2120,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-2121,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-3688,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-3689,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4064,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4065,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4066,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4067,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4071,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4072,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50268-400,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Avpak,Human Prescription Drug
50268-401,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Avpak,Human Prescription Drug
50268-402,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Avpak,Human Prescription Drug
53746-109,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Amneal Pharmaceuticals Of New York Llc,Human Prescription Drug
53746-110,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Amneal Pharmaceuticals Of New York Llc,Human Prescription Drug
55700-598,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Lake Erie Medical Dba Quality Care Products Llc,Human Prescription Drug
55700-603,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Lake Erie Medical Dba Quality Care Products Llc,Human Prescription Drug
55700-652,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Lake Erie Medical Dba Quality Care Products Llc,Human Prescription Drug
55700-771,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Quality Care Products, Llc",Human Prescription Drug
55700-781,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Quality Care Products, Llc",Human Prescription Drug
55700-823,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Quality Care Products, Llc",Human Prescription Drug
60429-590,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Golden State Medical Supply, Inc.",Human Prescription Drug
60429-591,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Golden State Medical Supply, Inc.",Human Prescription Drug
60429-592,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Golden State Medical Supply, Inc.",Human Prescription Drug
60687-396,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,American Health Packaging,Human Prescription Drug
60687-407,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,American Health Packaging,Human Prescription Drug
60687-417,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Solution,Oral,American Health Packaging,Human Prescription Drug
60687-418,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,American Health Packaging,Human Prescription Drug
60760-220,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,St. Mary's Medical Park Pharmacy,Human Prescription Drug
61919-114,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Direct Rx,Human Prescription Drug
61919-156,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Direct Rx,Human Prescription Drug
61919-452,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Direct_rx,Human Prescription Drug
61919-828,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Direct_rx,Human Prescription Drug
63187-112,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-120,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-137,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-375,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-658,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-778,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-838,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63304-497,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,"Sun Pharmaceutical Industries, Inc.",Human Prescription Drug
63629-1177,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
63629-1179,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
63629-1181,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
